label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
;Lorentzian;342.9453353466515;377.5018915927191;2.650475409430786;;;
Peak IV;Lorentzian;685.6466566645727;97.03319347394297;6.371018569799003;;;
Peak II;Lorentzian;507.2795608412353;55.97592310224705;93.73539679709589;;;
;Lorentzian;302.52838376887127;113.83768901233537;26.525394082547482;;;
;Lorentzian;250.29760064993155;21.273663211484077;13.773846990806637;;;
Peak I;Lorentzian;384.13868633198825;22.00120393279541;16.233836760915253;;;
Peak III;Lorentzian;618.5065446141105;37.48717029013064;11.600814856466934;;;
;Lorentzian;651.0826213409014;33.49317645128013;6.377563422409837;;;
;Lorentzian;413.2460001459702;12.23292827342833;43.67955448703423;;;
10;LorentzianAsym;432.95147576166687;9.07743134821845;;2.5749741823390293;15.869428494739967;
