label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Lorentzian;302.4927478678967;582.8666042110307;26.907400413537953;;;
2;Lorentzian;501.258;288.3063117178728;106.98311553623307;;;
3;Lorentzian;618.5306004779961;192.36239909904853;11.91757464528469;;;
4;Lorentzian;685.6420079086357;500.33433485299406;6.341336652133089;;;
5;Lorentzian;651.0797417603505;173.59812376488054;6.531352792594635;;;
6;Lorentzian;342.94484918156866;1919.3286013882494;2.6627474621118696;;;
7;Lorentzian;384.34700849205814;115.54549604312079;17.38155326875259;;;
8;Lorentzian;250.34430262616965;112.70220459154814;13.909123163694638;;;
9;Lorentzian;137.466847948353;125.23487273129885;36.993022788902465;;;
10;Lorentzian;81.30524560273551;128.0087479789884;5.401514628267501;;;
11;Lorentzian;413.6542060869395;50.85365663253295;35.02129017318698;;;
